ID,Age,Income,Kidhome,Teenhome,Children,Family_Size,Is_Parent,Days_Enrolled,Recency,Complain
5524,68,58138.0,0,0,0,1,0,4695,58,0
2174,71,46344.0,1,1,2,3,1,4145,38,0
4141,60,71613.0,0,0,0,2,0,4344,26,0
6182,41,26646.0,1,0,1,3,1,4171,26,0
5324,44,58293.0,1,0,1,3,1,4193,94,0
7446,58,62513.0,0,1,1,3,1,4325,16,0
965,54,55635.0,0,1,1,2,1,4625,34,0
6177,40,33454.0,1,0,1,3,1,4449,32,0
4855,51,30351.0,1,0,1,3,1,4420,19,0
5899,75,5648.0,1,1,2,4,1,4140,68,0
1994,42,51381.5,1,0,1,3,1,4258,11,0
387,49,7500.0,0,0,0,2,0,4625,59,0
2125,66,63033.0,0,0,0,1,0,4258,82,0
8180,73,59354.0,1,1,2,3,1,4258,53,0
2569,38,17323.0,0,0,0,2,0,4659,38,0
2114,79,82800.0,0,0,0,1,0,4614,23,0
9736,45,41850.0,1,1,2,4,1,4584,51,0
4939,79,37760.0,0,0,0,2,0,4699,20,0
6565,76,76995.0,0,1,1,3,1,4490,91,0
2278,40,33812.0,1,0,1,2,1,4635,86,0
9360,43,37040.0,0,0,0,2,0,4722,41,0
5376,46,2447.0,1,0,1,3,1,4571,42,0
1993,76,58607.0,0,1,1,3,1,4585,63,0
4047,71,65324.0,0,1,1,3,1,4201,0,0
1409,74,40689.0,0,1,1,3,1,4500,69,0
7892,56,18589.0,0,0,0,1,0,4575,89,0
2404,49,53359.0,1,1,2,4,1,4430,4,0
5255,39,51381.5,1,0,1,2,1,4526,19,0
9422,36,38360.0,1,0,1,3,1,4426,26,0
1966,60,84618.0,0,0,0,2,0,4251,96,0
6864,36,10979.0,0,0,0,1,0,4070,34,0
3033,62,38620.0,0,0,0,2,0,4446,56,0
5710,55,40548.0,0,1,1,3,1,4659,31,0
7373,73,46610.0,0,2,2,3,1,4640,8,0
8755,79,68657.0,0,0,0,2,0,4526,4,0
10738,74,49389.0,1,1,2,3,1,4336,55,0
4339,55,67353.0,0,1,1,3,1,4212,37,0
10755,49,23718.0,1,0,1,3,1,4332,76,0
8595,52,42429.0,0,1,1,2,1,4170,99,0
2968,82,48948.0,0,0,0,1,0,4545,53,0
8601,45,80011.0,0,1,1,3,1,4458,3,0
503,40,20559.0,1,0,1,3,1,4506,88,0
8430,68,21994.0,0,1,1,3,1,4584,4,0
7281,66,51381.5,0,0,0,1,0,4268,80,0
2139,50,7500.0,1,0,1,3,1,4302,19,0
1371,49,79941.0,0,0,0,1,0,4033,72,0
