,0,1
Annual Income,-3.5987880709320566e+18,2.543876147849683e+18
Number of Children,9.595389147612622e+17,-6.782694924190295e+17
Number of Teenagers,-6.338989622450687e+16,4.480843046098747e+16
Days Since Last Purchase,6210792504775058.0,-4390224320169070.0
Spent on Wine,-5.385403011557244e+18,3.8067810600778696e+18
Spent on Fruits,3.993396057674076e+18,-2.8228127858062546e+18
Spent on Meat,1.1769498997293312e+18,-8.319508451521836e+17
Spent on Fish,3.010594609553472e+19,-2.1280997011042095e+19
Spent on Sweets,2.0032656250693284e+18,-1.416048831155876e+18
Spent on Gold Products,8.792709497116426e+17,-6.215304575824282e+17
Purchases with Discount,2.563649098756338e+17,-1.8121672255331043e+17
Web Purchases,-1.451434467313305e+18,1.0259758142993286e+18
Catalog Purchases,-2.318425160786519e+18,1.6388257243422267e+18
In-Store Purchases,8.683764658004128e+17,-6.138294712451771e+17
Monthly Web Visits,7.049442918000733e+17,-4.983041329823417e+17
Accepted Campaign 3,6.896622638461976e+16,-4.8750172238288376e+16
Accepted Campaign 4,-4.297562761281643e+17,3.037819173241834e+17
Accepted Campaign 5,1.777448374519957e+18,-1.256425339546168e+18
Accepted Campaign 1,9.27331005453487e+17,-6.555026801907855e+17
Accepted Campaign 2,-1.8403302061390108e+18,1.3008746342631483e+18
Has Complained in 2 Years,-8.856612627305757e+16,6.260475796095536e+16
Accepted Last Campaign,4.911058299479704e+17,-3.471480904823056e+17
Total_Spend,1.530580288648234e+18,-1.081921639151347e+18
Total_Purchases,-3.087610360297765e+18,2.182539842470023e+18
Age,-5.874424942807811e+16,4.15245610461073e+16
Days_with_Company,-6422462713823265.0,4539847689313410.0
Education_encoded,103.0,98.0
Marital_Status_encoded,101.0,99.0
Age_Category_encoded,104.0,97.0
Cluster,0.0,171.0
