,0,1,2,3,4,5
Annual Income,-3.3339079402476436e+18,3.285708791580332e+18,-2.0128454108496435e+18,-2.1100899138096745e+18,4.316404926224178e+18,2.0145411032985224e+18
Age_Category_encoded,97.0,86.0,118.0,107.0,78.0,104.0
Marital_Status_encoded,109.0,93.0,102.0,101.0,104.0,94.0
Education_encoded,58.0,89.0,155.0,100.0,21.0,144.0
Days_with_Company,-1.3938271445992096e+16,2624220324246748.0,7447133414174966.0,-4006321484467771.0,-1.2261610712913142e+16,1.6048035726271144e+16
Number of Children,1.0989001221218186e+18,-1.3556010332288707e+18,1.0644898564119304e+18,1.0509475635456128e+18,-1.0247849930193713e+18,-1.551676005940956e+18
Number of Teenagers,-3.818793779807345e+17,-2.4677529086886746e+17,4.033277682450769e+17,1.2645061538560405e+17,-3.7084922455062925e+17,3.122032106129167e+17
Days Since Last Purchase,-1.030950930974623e+16,-2.694514847126312e+16,3.6085649685688e+16,7795168460006259.0,6.8402204696988376e+16,-3.5521495548560908e+16
Has Complained in 2 Years,6.066793480317932e+17,2.0558658046297894e+17,-4.539422486836792e+17,-3.725718087240266e+17,1.336207430428679e+18,-4.539422486836792e+17
Cluster,0.0,43.0,87.0,130.0,173.0,217.0
